headline,author,source,date,wordcount,permalink,decade
Growth of 9.5pc attainable,,Business Times,7-Dec-79,232,http://eresources.nlb.gov.sg/newspapers/Digitised/Page/biztimes19791207-1.1.1.aspx,70
Mood of confidence,,Business Times,7-Dec-79,3290,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19791207-1.2.27.aspx,70
Prof Lim is new chief of Asean economic body,,Straits Times,15-Dec-79,245,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791215-1.2.47.aspx,70
ALL CAN NOW APPLY FOR AID,,Straits Times,22-Dec-79,849,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791222-1.2.4.aspx,70
SDC subsidies can reach up to 70 per cent,,Business Times,22-Dec-79,953,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19791222-1.2.24.aspx,70
NWC: same in new package?,,Business Times,20-Jun-80,1521,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19800620-1.2.27.aspx,80
Wages council rewards above-average worker,,Business Times,21-Jun-80,1307,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19800621-1.2.45.aspx,80
New ideas about work for revamped economy,,Straits Times,16-Oct-80,1571,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19801016-1.2.29.1.aspx,80
Afghan documentary a saga of courage,John de Souza,Straits Times,19-Oct-80,1336,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19801019-1.2.57.1.aspx,80
SES expansion,,Business Times,13-Mar-81,1229,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19810313-1.2.25.aspx,80
CLOSE COMPLIANCE,,Business Times,20-May-81,1391,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19810520-1.2.21.aspx,80
A commonsense approach to success,,Straits Times,31-Jul-81,954,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19810731-1.2.26.2.aspx,80
Strategy development,,Business Times,3-Sep-81,812,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19810903-1.2.24.aspx,80
Directions for a signpost,,Straits Times,21-Dec-81,1422,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19811221-1.2.154.2.aspx ,80
Misconception of NWC's role,Zhou Mei,Business Times,13-Apr-82,1945,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820413-1.2.20.aspx,80
TEN YEARS LATER,,Business Times,13-Apr-82,1253,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820413-1.2.21.aspx,80
Priority given to in-house training schemes,Zhou Mei,Business Times,22-Apr-82,1841,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820422-1.2.21.aspx,80
Members of the National Wages Council,,Straits Times,5-Jun-82,884,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820605-1.2.68.1.aspx,80
Calculation of NWC Wage Adjustment where the agreed quantum is $18.50 + 2.5%,,Straits Times,5-Jun-82,884,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820605-1.2.68.1.aspx,80
Calculation of NWC Wage Adjustment where the agreed quantum is $18.50 + 4.5%,,Straits Times,5-Jun-82,884,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820605-1.2.68.1.aspx,80
Professor Lim Chong Yah resigns from NWC,,Business Times,9-Jul-82,154,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820709-1.2.8.aspx,80
NTUC — one for good of all,,Straits Times,11-Aug-82,2431,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820811-1.2.79.aspx,80
High wage policy is 'answer to scarcity',,Straits Times,27-Aug-82,385,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820827-1.2.45.aspx,80
Let workers take part of CPF at 50,,Straits Times,27-Aug-82,650,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820827-1.2.14.aspx,80
Tripartism of NWC should be preserved says its chief,John Lim,Business Times,27-Aug-82,330,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820827-1.2.9.aspx,80
Govt still has a role in NWC,Ivan Lim,Straits Times,27-Aug-82,559,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820827-1.2.44.aspx,80
Find better ways to use CPF,,Straits Times,28-Aug-82,554,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820828-1.2.76.aspx,80
Why strikes are rare in Austria,Matilda Gabriel,Straits Times,24-Oct-82,707,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19821024-1.2.95.aspx,80
Austrian wage body similar to NWC,,Straits Times,10-Nov-82,356,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19821110-1.2.85.5.aspx,80
Double-digit NWC award unlikely,Zhou Mei,Business Times,17-May-83,552,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19830517-1.2.9.aspx,80
Don't expect more from NWC this year,Zhou Mei,Straits Times,18-May-83,725,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830518-1.2.9.aspx,80
Tripartitism still prevails,,Straits Times,18-May-83,2796,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830518-1.2.67.aspx,80
the NWC talks $10+2 to 6 percent,Sit Yin Fong,The Singapore Monitor,31-May-83,342,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/singmonitor19830531-1.2.3.aspx,80
NWC: It's $10 plus 2-6pc,,Business Times,1-Jun-83,262,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19830601-1.2.4.aspx,80
NWC: No equal pay for unequal work,Rav Dhaliwal,Straits Times,1-Jun-83,442,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830601-1.2.4.aspx,80
696 in National Day awards list,,Straits Times,9-Aug-83,1068,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830809-1.2.30.aspx,80
"Politics, economics and quality of life",,Straits Times,27-Aug-83,1228,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830827-1.2.75.1.aspx,80
A'dry' subject is made human,,Straits Times,24-Sep-83,879,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830924-1.2.137.24.1.aspx,80
view from other side,,Business Times,6-Jan-84,1676,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19840106-1.2.20.aspx,80
Japan's study in contrasts,,Business Times,7-Jan-84,1620,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19840107-1.2.19.aspx,80
A professor's labour of love,Lim Chong Yah,Sunday Monitor,15-Jan-84,408,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/singmonitor19840115-1.2.21.16.aspx,80
